postcode,rent_type,bills_included,short_term,property_type,room_size,room_furnishing,is_en_suite,no_of_rooms,share_occupation,room_for,share_gender,occupant_age,household_option,no_of_bedrooms,property_preference,property_habit,room_suitable_for,rate
N2,monthly,False,True,whole_property,single,furnished,False,4,student,couple,female,33-49,lgbt,2,garden,smoking,working professionals,859.0
SE2,monthly,True,True,room_in_existing,double,furnished,True,5,professional,female,male,25-41,lgbt,3,parking,non_smoking,students,600.73
SE2,monthly,True,False,whole_property,single,furnished,True,2,student,couple,male,20-37,lgbt,5,garden,smoking,family,799.9
E1,monthly,False,False,studio,single,unfurnished,False,4,professional,couple,male,25-43,veg,4,garden,smoking,working professionals,1027.99
NW1,monthly,False,False,room_in_existing,double,furnished,False,2,student,male,female,34-39,lgbt,1,balcony,non_smoking,working professionals,1337.0
E2,weekly,True,False,whole_property,double,furnished,True,4,student,female,female,35-36,lgbt,4,parking,non_smoking,students,558.17
NW1,weekly,True,False,studio,double,unfurnished,True,1,student,male,female,31-48,veg,3,balcony,non_smoking,students,984.34
W1,monthly,False,True,studio,double,unfurnished,True,2,professional,female,female,30-44,veg,2,balcony,non_smoking,family,348.31
E1,weekly,False,False,whole_property,double,furnished,True,3,student,male,female,29-45,veg,5,parking,non_smoking,family,975.51
W2,weekly,False,False,whole_property,single,unfurnished,False,1,student,female,mixed,27-47,lgbt,5,garden,smoking,family,1054.83
N2,monthly,True,True,room_in_existing,single,furnished,True,4,student,female,male,33-47,lgbt,4,parking,non_smoking,family,1172.88
